pas_code_id|pas_code
1|001
2|002
3|003
4|004
5|005
6|006
7|007
8|008
9|009
10|010
11|011
12|012
13|013
14|014
15|015
16|016
17|051
18|1
19|10
20|100
21|101
22|102
23|103
24|104
25|105
26|106
27|107
28|108
29|109
30|11
31|110
32|111
33|112
34|115
35|116
36|117
37|119
38|12
39|120
40|122
41|123
42|124
43|126
44|128
45|129
46|13
47|130
48|131
49|132
50|133
51|134
52|135
53|136
54|137
55|138
56|139
57|14
58|140
59|141
60|142
61|143
62|144
63|145
64|147
65|148
66|149
67|15
68|150
69|151
70|152
71|154
72|156
73|157
74|158
75|159
76|16
77|160
78|161
79|162
80|163
81|164
82|165
83|167
84|168
85|169
86|17
87|170
88|171
89|172
90|173
91|174
92|175
93|176
94|178
95|179
96|18
97|180
98|181
99|182
100|183
101|184
102|185
103|186
104|187
105|188
106|189
107|19
108|190
109|191
110|192
111|193
112|194
113|195
114|196
115|198
116|199
117|2
118|20
119|201
120|202
121|204
122|205
123|206
124|207
125|208
126|209
127|21
128|210
129|211
130|212
131|213
132|214
133|215
134|216
135|217
136|218
137|22
138|220
139|221
140|222
141|223
142|224
143|225
144|226
145|227
146|228
147|229
148|23
149|231
150|233
151|234
152|235
153|236
154|238
155|24
156|241
157|242
158|243
159|25
160|26
161|27
162|28
163|29
164|2A
165|2B
166|3
167|30
168|301
169|303
170|304
171|305
172|306
173|307
174|308
175|309
176|31
177|310
178|311
179|312
180|313
181|314
182|315
183|316
184|318
185|319
186|32
187|320
188|321
189|322
190|323
191|324
192|325
193|326
194|327
195|328
196|329
197|33
198|330
199|331
200|332
201|333
202|334
203|335
204|336
205|337
206|34
207|340
208|341
209|342
210|344
211|345
212|346
213|347
214|348
215|349
216|35
217|350
218|351
219|352
220|353
221|354
222|355
223|356
224|357
225|358
226|36
227|37
228|38
229|39
230|4
231|40
232|402
233|403
234|404
235|405
236|407
237|408
238|409
239|41
240|410
241|411
242|412
243|413
244|414
245|415
246|417
247|418
248|419
249|42
250|420
251|421
252|422
253|423
254|424
255|425
256|426
257|427
258|428
259|43
260|44
261|45
262|46
263|47
264|48
265|49
266|5
267|50
268|502
269|503
270|504
271|505
272|506
273|507
274|509
275|51
276|510
277|511
278|513
279|514
280|515
281|516
282|518
283|519
284|52
285|520
286|521
287|522
288|523
289|525
290|526
291|527
292|528
293|53
294|530
295|531
296|532
297|54
298|55
299|56
300|57
301|58
302|59
303|6
304|60
305|601
306|602
307|603
308|604
309|605
310|606
311|607
312|608
313|609
314|61
315|610
316|611
317|612
318|613
319|614
320|615
321|616
322|617
323|619
324|62
325|620
326|621
327|622
328|623
329|624
330|625
331|626
332|627
333|628
334|629
335|63
336|630
337|632
338|633
339|634
340|635
341|636
342|637
343|638
344|639
345|64
346|640
347|641
348|642
349|643
350|644
351|645
352|646
353|647
354|648
355|649
356|65
357|650
358|651
359|652
360|653
361|654
362|655
363|656
364|657
365|658
366|659
367|66
368|660
369|661
370|662
371|663
372|664
373|665
374|666
375|668
376|669
377|67
378|670
379|671
380|672
381|673
382|675
383|676
384|677
385|678
386|679
387|68
388|680
389|681
390|682
391|683
392|684
393|685
394|686
395|687
396|688
397|689
398|69
399|690
400|692
401|7
402|70
403|701
404|702
405|703
406|704
407|705
408|706
409|707
410|708
411|709
412|71
413|710
414|711
415|712
416|713
417|714
418|715
419|716
420|717
421|718
422|719
423|72
424|720
425|721
426|722
427|723
428|724
429|725
430|726
431|727
432|728
433|729
434|73
435|730
436|731
437|732
438|733
439|734
440|735
441|736
442|737
443|738
444|739
445|74
446|740
447|741
448|742
449|743
450|75
451|76
452|77
453|78
454|79
455|8
456|80
457|801
458|802
459|803
460|804
461|805
462|806
463|807
464|808
465|81
466|810
467|811
468|812
469|813
470|814
471|815
472|816
473|817
474|818
475|819
476|82
477|820
478|821
479|822
480|823
481|824
482|825
483|826
484|827
485|828
486|829
487|83
488|830
489|831
490|832
491|833
492|834
493|835
494|836
495|837
496|838
497|839
498|84
499|840
500|841
501|842
502|843
503|844
504|846
505|847
506|848
507|849
508|85
509|850
510|851
511|852
512|853
513|86
514|87
515|88
516|89
517|9
518|90
519|901
520|902
521|903
522|904
523|905
524|907
525|908
526|909
527|91
528|910
529|911
530|912
531|913
532|914
533|915
534|916
535|917
536|918
537|919
538|92
539|920
540|921
541|922
542|923
543|93
544|94
545|95
546|96
547|99
548|A
549|AA
550|AB
551|ABR
552|AC
553|ACT
554|AD
555|AG
556|AGN
557|AGS
558|AH
559|AI
560|AK
561|AKL
562|AL
563|ALB
564|AM
565|AN
566|ANE
567|ANT
568|AO
569|AP
570|APA
571|APB
572|APC
573|APD
574|APE
575|APF
576|APG
577|APH
578|API
579|APJ
580|AQ
581|AR
582|AS
583|ASU
584|AT
585|AUK
586|AUR
587|AV
588|AY
589|AZ
590|B
591|BA
592|BAA
593|BAB
594|BAC
595|BAD
596|BAE
597|BAN
598|BAR
599|BAS
600|BB
601|BBE
602|BBN
603|BBY
604|BC
605|BCS
606|BD
607|BE
608|BEN
609|BG
610|BH
611|BI
612|BIL
613|BJ
614|BKD
615|BKH
616|BKO
617|BL
618|BM
619|BMB
620|BME
621|BN
622|BNY
623|BO
624|BOH
625|BOP
626|BP
627|BPB
628|BPV
629|BPZ
630|BR
631|BRA
632|BRE
633|BRI
634|BS
635|BST
636|BT
637|BTG
638|BTN
639|BU
640|BUK
641|BUL
642|BV
643|BW
644|BY
645|BYT
646|BZ
647|C
648|CA
649|CAD
650|CAG
651|CAL
652|CAM
653|CAN
654|CAP
655|CAS
656|CAT
657|CAV
658|CB
659|CBU
660|CC
661|CCK
662|CE
663|CEB
664|CH
665|CHA
666|CHH
667|CHL
668|CHS
669|CI
670|CIM
671|CJ
672|CJH
673|CK
674|CL
675|CN
676|CO
677|COA
678|COL
679|COM
680|CPE
681|CPI
682|CPK
683|CPM
684|CPR
685|CQ
686|CR
687|CRI
688|Cs
689|CS
690|CST
691|CT
692|CTA
693|CU
694|CV
695|CW
696|CYI
697|CZ
698|D
699|DA
700|DAO
701|DAS
702|DAV
703|DB
704|DBI
705|DC
706|DCH
707|DDO
708|DE
709|DET
710|DF
711|DGO
712|DJ
713|DKL
714|DKU
715|DKV
716|DL
717|DN
718|DO
719|DON
720|DPJ
721|DPM
722|DPS
723|DR
724|DRO
725|DSO
726|DST
727|DTA
728|DU
729|E
730|EA
731|EAS
732|EBR
733|EC
734|ECH
735|ECL
736|EDE
737|EDI
738|EF
739|EHG
740|EJA
741|ELI
742|ELO
743|ELT
744|EMO
745|EMX
746|EN
747|EPW
748|ES
749|ESW
750|ETE
751|EU
752|EUL
753|EV
754|F
755|FA
756|FAL
757|FB
758|FC
759|FCR
760|FD
761|FE
762|FF
763|FG
764|FHB
765|FHK
766|FI
767|FJ
768|FJI
769|FJL
770|FK
771|FL
772|FLO
773|FM
774|FNA
775|FO
776|FPA
777|FR
778|FRK
779|FS
780|FSE
781|FSV
782|FTR
783|FUO
784|G
785|GA
786|GAL
787|GB
788|GBL
789|GBM
790|GBR
791|GBV
792|GC
793|GD
794|GE
795|GEL
796|GF
797|GHO
798|GI
799|GIS
800|GJ
801|GJI
802|GKR
803|GL
804|GLO
805|GM
806|GO
807|GPK
808|GPR
809|GR
810|GRO
811|GS
812|GTO
813|GTR
814|GU
815|GUH
816|GUI
817|GVY
818|GX
819|GY
820|GZ
821|GZL
822|GZN
823|GZS
824|H
825|HA
826|HB
827|HBR
828|HD
829|HE
830|HF
831|HFM
832|HGO
833|HH
834|HI
835|HIN
836|HJE
837|HK
838|HKA
839|HKB
840|HL
841|HLO
842|HM
843|HN
844|HNJ
845|HO
846|HOL
847|HOP
848|HOS
849|HPR
850|HR
851|HSU
852|HSZ
853|HT
854|HU
855|HUA
856|HUM
857|HVS
858|I
859|IA
860|IAL
861|IB
862|IC
863|ID
864|IF
865|IFU
866|II
867|III
868|IJ
869|IL
870|ILA
871|ILI
872|ILN
873|ILS
874|IM
875|IN
876|IR
877|Is
878|IS
879|ISA
880|IV
881|IX
882|J
883|JA
884|JAL
885|JB
886|JE
887|JI
888|JK
889|JL
890|JO
891|JS
892|JT
893|JU
894|JX
895|K
896|KA
897|KAL
898|KB
899|KC
900|KD
901|KE
902|KEA
903|KEB
904|KEC
905|KED
906|KEE
907|KEO
908|KEZ
909|KF
910|KG
911|KHH
912|KI
913|KK
914|KL
915|KM
916|KN
917|KNM
918|KO
919|KOM
920|KP
921|KR
922|KRU
923|KS
924|KT
925|KU
926|KV
927|KY
928|L
929|LA
930|LAG
931|LAN
932|LAS
933|LB
934|LC
935|LD
936|LE
937|LEO
938|LEV
939|LEY
940|LF
941|LG
942|LH
943|LI
944|LK
945|LL
946|LM
947|LMI
948|LN
949|LO
950|LP
951|LR
952|LS
953|LT
954|LU
955|LUC
956|LUN
957|LV
958|LVC
959|LX
960|LZ
961|M
962|MA
963|MAD
964|MAG
965|MAL
966|MAR
967|MAS
968|MB
969|MBA
970|MBH
971|MC
972|MD
973|MDC
974|MDR
975|ME
976|MED
977|MG
978|MH
979|MI
980|MIA
981|MIC
982|ML
983|MM
984|MN
985|MO
986|MOR
987|MOU
988|MPL
989|MPM
990|MR
991|MRL
992|Ms
993|MS
994|MSC
995|MSR
996|MT
997|MU
998|MV
999|MWT
1000|MYJ
1001|MZ
1002|N
1003|NA
1004|NAM
1005|NAN
1006|NAY
1007|NB
1008|NC
1009|NCD
1010|NCO
1011|ND
1012|NE
1013|NEC
1014|NER
1015|NG
1016|NH
1017|NI
1018|NIK
1019|NIS
1020|NIT
1021|NJ
1022|NK
1023|NL
1024|NM
1025|NMV
1026|NN
1027|NO
1028|NPP
1029|NS
1030|NSA
1031|NSN
1032|NSW
1033|NT
1034|NTL
1035|NU
1036|NUE
1037|NUV
1038|NV
1039|NW
1040|NX
1041|NY
1042|NZA
1043|O
1044|OAX
1045|OB
1046|OCN
1047|OD
1048|OG
1049|OH
1050|OHI
1051|OK
1052|OM
1053|ON
1054|OP
1055|OR
1056|OT
1057|OTA
1058|OU
1059|OV
1060|OW
1061|OY
1062|P
1063|PA
1064|PAM
1065|PAN
1066|PAR
1067|PB
1068|PBY
1069|PC
1070|PD
1071|PE
1072|PEN
1073|PEZ
1074|PG
1075|PH
1076|PI
1077|PIE
1078|PIF
1079|PK
1080|PL
1081|PLW
1082|PM
1083|PN
1084|PO
1085|POL
1086|POP
1087|PR
1088|PRE
1089|PRI
1090|PS
1091|PT
1092|PU
1093|PUC
1094|PUE
1095|PV
1096|PZ
1097|Q
1098|QC
1099|QH
1100|QLD
1101|QRO
1102|QTR
1103|QUE
1104|QUI
1105|R
1106|RA
1107|RC
1108|RE
1109|REV
1110|REZ
1111|RG
1112|RI
1113|RIS
1114|RIZ
1115|RJ
1116|RM
1117|RN
1118|RO
1119|ROM
1120|ROZ
1121|RP
1122|RR
1123|RS
1124|RSO
1125|RUZ
1126|RV
1127|RZ
1128|S
1129|SA
1130|SAB
1131|SAL
1132|SAN
1133|SAR
1134|sB
1135|SB
1136|SC
1137|SCO
1138|SD
1139|SE
1140|SEA
1141|SEN
1142|SF
1143|SG
1144|SH
1145|SHM
1146|SI
1147|SIG
1148|SIN
1149|sJ
1150|SJ
1151|SK
1152|SKA
1153|SL
1154|SLE
1155|SLP
1156|SLU
1157|sM
1158|SM
1159|SN
1160|SNI
1161|SNV
1162|SO
1163|SOA
1164|SOB
1165|SOL
1166|SON
1167|SOR
1168|SP
1169|SR
1170|SS
1171|ST
1172|STE
1173|STL
1174|STR
1175|SU
1176|SUK
1177|SUN
1178|SUR
1179|sV
1180|SV
1181|SVI
1182|SW
1183|SX
1184|SZ
1185|T
1186|TA
1187|TAB
1188|TAO
1189|TAR
1190|TAS
1191|TAW
1192|TB
1193|TE
1194|TEL
1195|TF
1196|TG
1197|TH
1198|TI
1199|TJ
1200|TKI
1201|TL
1202|TLX
1203|TM
1204|TMS
1205|TN
1206|TNC
1207|TNN
1208|TO
1209|TOP
1210|TP
1211|TPE
1212|TR
1213|TRE
1214|TRN
1215|TS
1216|TT
1217|TTE
1218|TTT
1219|TU
1220|TV
1221|TVR
1222|TX
1223|TXG
1224|U
1225|UD
1226|UGI
1227|UL
1228|UN
1229|UO
1230|UR
1231|US
1232|UT
1233|UU
1234|V
1235|VA
1236|VB
1237|VC
1238|VD
1239|VE
1240|VER
1241|VG
1242|VI
1243|VIC
1244|VII
1245|VIII
1246|VK
1247|VKR
1248|VL
1249|VN
1250|VO
1251|VR
1252|VRT
1253|Vs
1254|VS
1255|VT
1256|VV
1257|W
1258|WA
1259|WB
1260|WBR
1261|WC
1262|WD
1263|WE
1264|WGN
1265|WH
1266|WHM
1267|WI
1268|WKO
1269|WL
1270|WN
1271|WO
1272|WPD
1273|WSA
1274|WT
1275|WTC
1276|WU
1277|WV
1278|WW
1279|WX
1280|WY
1281|WZ
1282|X
1283|XI
1284|XII
1285|XIV
1286|XJ
1287|XV
1288|XZ
1289|Y
1290|YA
1291|YN
1292|YO
1293|YR
1294|YT
1295|YUC
1296|Z
1297|ZA
1298|ZAC
1299|ZAN
1300|ZAR
1301|ZAS
1302|ZE
1303|ZG
1304|ZH
1305|ZIH
1306|ZIL
1307|ZJ
1308|ZL
1309|ZM
1310|ZMB
1311|ZMO
1312|ZP
1313|ZSI
1314|ZT
1315|ZU
1316|ZVO