pas_region_id|dxcc_id|region
1|206|Vienna (Wien)
2|206|Salzburg
3|206|Lower Austria (Niederosterreich)
4|206|Burgenland
5|206|Upper Austria (Oberosterreich)
6|206|Styria (Steiermark)
7|206|Tyrol (Tirol)
8|206|Carinthia (Karnten)
9|206|Vorarlberg
10|212|Burgas
11|212|City of Sofia
12|212|Hashkovo
13|212|Plovdiv
14|212|Sofia
15|212|Lovec
16|212|Montanta
17|212|Ruse
18|212|Varna
19|224|Turku-Pori (Turun ja Porin laani)
20|224|Uudenmaa (Uudenmaan laani)
21|224|Haeme (Hameen laani)
22|224|Mikkeli (Mikkelin laani)
23|224|Kymi (Kymen laani)
24|224|Keski-Suomi (Keski-Suomen laani), Vaasa (Vaasan laani)
25|224|Kuopio (Kuopion laani), Pohjois-Karjala (Pohjois-Karjalan laani)
26|224|Oulu (Oulun laani)
27|224|Lappi (Lapin laani)
28|225|Sardinia (Sardegna)
29|248|Liguria
30|248|Piedmont (Piemonte)
31|248|Aosta Valley (Valle D'Aosta)
32|248|Lombardy (Lombardia)
33|248|Veneto
34|248|Trentino-South Tyrol (Trentino-Alto Adige)
35|248|Friuli-Venezia Giulia
36|248|Emilia Romagna
37|248|Tuscany (Toscana)
38|248|Abruzzo
39|248|Marche
40|248|Basilicata
41|248|Puglia
42|248|Calabria
43|248|Campania
44|248|Molise
45|248|Latium (Lazio)
46|248|Umbria
47|248|Sicliy (Sicilia)
48|339|Kanto
49|339|Tokai
50|339|Kansai
51|339|Chugoku
52|339|Shikoku
53|339|Kyushu
54|339|Tohoku
55|339|Hokkaido
56|339|Hokuriku
57|339|Shin'estu
58|503|Prague (Praha)
59|503|Central Bohemia (Stredocesky kraj)
60|503|Southern Bohemia (Jihocesky kraj)
61|503|Western Bohemia (Zapadocesky kraj)
62|503|Northern Bohemia (Severoceaky kraj)
63|503|Eastern Bohemia (Vychodocesky kraj)
64|503|Southern Moravia (Jihomoravsky kraj)
65|503|Northern Moravia (Soveromoravsky kraj)
66|504|Bratislava (Bratislavsky kraj)
67|504|Trnava (Trnavsky kraj)
68|504|Trencin (Trenciansky kraj)
69|504|Nitra (Nitrianaky kraj)
70|504|Zilina (Zilinsky kraj)
71|504|Banska Bystrica (Banskobystricky kraj)
72|504|Kosice (Kosicky kraj)
73|504|Presov (Presovsky kraj)