id,sw_version
1,2.0_r1866
2,2.0_r1786
3,2.0_r1668
4,4.0 r4185
5,3.9_r2859
6,2.0_r1703
7,2.0_r1536
8,2.0_r1660
9,4.0 r2866
10,3.9_r2848
11,2.0_r1574
12,3.9_r2861
13,2.11_r2270
14,2.10_r2153
15,2.0_r1769
16,0.6
17,3.00_r2295
18,2.0_r1620
19,2.0_r1677
20,2.21_r2286
21,3.00_r2317
22,4.00_r4171
23,2.12_r3614
24,2.10_r2222
25,0.9_r4738
26,3.00_r2316
27,3.9_r2858
28,2.0_r1706
29,2.0_r1628
30,2.10_r2198
31,2.0_r1655
32,2.0_r1540
33,3.9_r2857
34,4.0 r4164
35,0.7_r3034
36,2.11_r2272
37,2.10_r2168
38,2.10_r2184
39,2.10_r2193
40,2.10_r2163
41,0.1_wrx
42,4.0 r4456
43,4.0 r4307
44,2.10_r2238
45,4.0 **SDR*
46,3.00_r2436
47,1.1_r1040
48,4.0 r4479
49,2.0_r1670
50,3.00_r2328
51,2.01_r2137
52,2.0_r1631
53,4.0 r4887
54,2.20_r2283
55,0.9_r3827
56,0.7_r754
57,2.10_r2194
58,3.0.1_r279
59,2.10_r2232
60,4.0 r6053
61,1.6.1-deve
62,3.00_r2297
63,1.12_r1194
64,3.00_r2310
65,3.00_r2485
66,3.00_r2290
67,2.0_r1616
68,0.8_r766
69,0.9_r
70,2.0_r1596
71,2.0_r1783
72,0.7_r747
73,0.8_r942
74,4.0 r4215
75,3.00_r2308
76,3.00_r2332
77,2.11_r2248
78,0.8_r3573
79,3.00_r
80,2.20_r2278
81,1.12_r1200
82,4.0 r2869
83,3.00_r2326
84,2.0_r1839
85,1.11_r1171
86,4.0 r4183
87,2.21_r2287
88,2.10_r2191
89,2.0_r1770
90,3.00_r2514
91,2.10_r2181
92,0.7_r748
93,2.11_r2247
94,2.20_r2280
95,2.11_r2250
96,1.7.0-deve
97,2.0_r1646
98,3.00_r2289
99,0.8_r3060
100,3.00_r2304
101,4.0 r4233
102,3.0.1_r
103,2.10_r2206
104,4.0 r3889
105,2.0_r1695
106,2.10_r2190
107,2.0_r1704
108,2.0_r1793
109,4.0 **K3-M
110,2.0_r1642
111,4.0 r3907
112,3.00_r2322
113,2.01_r2144
114,2.10_r2196
115,2.0_r1608
116,2.10_r2187
117,2.11_r2263
118,4.0 r3886
119,2.0_r1712
120,1.14_r1318
121,2.0_r1612
122,2.0_r1614
123,0.9_r5279
124,2.0_r1714
125,3.9_r2856
126,2.10_r2170
127,0.8_r941
128,2.10_r2173
129,2.10_r2165
130,3.00_r2298
131,3.9_r2840
132,2.0_r1553
133,2.10_r2179
134,4.0 r4191
135,4.0 r4344
136,2.10_r2161
137,0.9_r3844
138,3.00_r2507
139,1.0_r977
140,4.0 r4155
141,1.11_r1169
142,3.00_r2309
143,3.00_r2306
144,2.11_r2266
145,2.11_r2265
146,2.0_r1617
147,2.10_r2189
148,2.0_r1796
149,2.01_r1899
150,2.11_r2254
151,1.6.0-deve
152,1.14_r1317
153,4.0 r4169
154,0.8_r3058
155,2.10_r2212
156,1.11_r1172
157,4.0 **K3 M
158,4.0 r4089
159,1.0_r972
160,2.10_r2158
161,1.0_r954
162,3.00_r2415
163,3.9_r2843
164,3.9_r2855
165,3.0.1_r278
166,2.0_r1644
167,2.0_r1685
168,3.00_r2312
169,2.10_r2188
170,2.10_r2160
171,4.0 r4847
172,4.0 r3888
173,3.00_r2307
174,2.11_r2241
175,0.9_r3944
176,0.7_r752
177,1.01_r1035
178,1.0_r944
179,1.6.0-rc1
180,4.0 r4088
181,4.0 r4229
182,1.12_r1180
183,2.11_r2271
184,0.8_r762
185,2.10_r2192
186,2.10_r2204
187,1.0_r987
188,2.0_r1640
189,2.0_r1597
190,4.0 K33015
191,2.0_r1598
192,4.0 r2871
193,1.12_r1177
194,2.10_r2178
195,2.0_r1581
196,3.9_r2850
197,2.0_r1653
198,4.0 r3015
199,2.10_r2155
200,4.0 r4291
201,2.11_r2252
202,1.1_r1046
203,0.7_r3041
204,2.0_r1604
205,None
206,2.10_r2171
207,2.01_r1898
208,2.0_r1713
209,4.0 r2874
210,3.0.1_r248
211,2.0_r1665
212,2.0_r1531
213,2.0_r1621
214,0.7_r3051
215,1.6.0-rc3
216,3.00_r2414
217,2.0_r1697
218,3.00_r2305
219,2.10_r2211
220,2.0_r1841
221,2.10_r2175
222,2.20_r2279
223,3.9_r2846
224,3.00_r2314
225,1.0_r957
226,4.0 r4893k
227,2.10_r2195
228,2.10_r2233
229,0.7_r3040
230,2.12_r3617
231,2.11_r2273
232,4.0 r4727
233,2.0_r1710
234,0.8_r831
235,0.8_r770
236,1.1_r1041
237,2.10_r2207
238,3.00_r2324
239,3.00_r2311
240,2.10_r2224
241,2.0_r1707
242,2.20_r2285
243,0.8_r867
244,3.00_r2320
245,4.0 **K3-S
246,1.13_r1255
247,1.0_r942
248,2.0_r1607
249,4.0 r2862
250,2.0_r1649
251,3.9_r2845
252,3.0.1_r255
253,2.10_r2208
254,0.8_r
255,4.0 r4522
256,WSPR-Pi v0
257,2.21_r2288
258,0.9_r4178
259,2.20_r2282
260,2.10_r2169
261,1.13_r1244
262,1.0_r976
263,2.10_r2157
264,1.1_r1042
265,2.10_r2200
266,2.10_r2225
267,2.0_r1630
268,4.0 **K3 S
269,3.9_r2847
270,1.1_r1150
271,1.12_r1240
272,2.0_r1691
273,2.0_r1679
274,1.1_r1035
275,4.0 r4886a
276,0.8_r3575
277,4.0 r4889
278,0.9_r4843
279,4.0 r4228
280,3.00_r2513
281,1.6.0-rc2
282,1.11_r1158
283,0.8_r767
284,0.9_r5162
285,4.0 **FT-4
286,0.9_r3621
287,3.9_r2860
288,2.10_r2209
289,4.0 r4171
290,2.0_r1636
291,2.0_r1682
292,1.0_r964
293,1.11_r1176
294,4.0Br3015
295,2.11_r2245
296,2.0_r1820
297,3.00_r2321
298,2.10_r2210
299,3.0.1_rp25
300,1.01_r1024
301,1.6.0
302,2.0_r1760
303,1.01_r1023
304,2.0_r1556
305,1.14_r1314
306,4.0 r2870
307,4.0 r4103
308,2.01_r1911
309,4.0 r3894
310,2.0_r1565
311,2.0_r1708
312,4.0 r5489
313,2.0_r1594
314,3.00_r2313
315,2.10_r2164
316,3.9_r2849
317,3.0.1_r246
318,4.0 r2873
319,4.0 r3901
320,2.0_r1790
324,17.3.1
329,18.1.98-RU
339,weakmon-0.
345,18.1.100-R
346,17.7.0
349,17.6.1
355,1.8.1-rc1
360,0.2r_wsprd
363,17.5.1
366,2.0.0-rc4
369,1.8.0-rc2
373,2.0.1-rc35
376,18.1.102-R
377,1.10.0-dev
389,17.5.0
392,2.0.0-rc2
399,17.0.1
402,4.0 r
403,17.1.0
410,17.6.0
411,1.7.0-rc1
417,2.0.1-deve
420,2.0.0-rc5-
423,17.5.2
425,1.8.0-rc1
440,1.9.0
441,1.9.0-rc2
442,17.2.2
449,2.0.0-rc3_
452,18.1.0
454,1.7.0
456,17.4.0
457,0.1_wsprd
463,4.0 r6434
464,18.1.94-RU
465,1.2 Kiwi
469,2.0.0-rc1
474,WD-2.0a
475,4.0 r6392
478,1.7.0-rc2
482,18.1.101
484,18.1.98
485,18.1.93-RU
491,WD-2.0c
492,RDPT-0.1
493,1.0 Kiwi
495,17.3.2
496,2.0.0-rc4_
501,1.9.0-rc1
504,0.9.6.1
505,0.9.0
508,1.8.0
510,1.8.1
525,2.0.0-rc5
529,1.1 Kiwi
535,2.0.1-rc45
536,1.3 Kiwi
539,18.1.96-RU
540,17.2.1
541,18.1.95-RU
547,1.9.0-deve
549,18.0.0
561,18.1.97-RU
567,1.8.0-rc3
572,18.1.103
578,1.9.2-deve
580,17.1.1
582,2.0.0-rc4-
592,18.1.99-RU
594,1.9.1
600,1.8.2-deve
610,18.1.103-R
611,18.1.97
619,1.10.0-rc1
621,1.9.0-rc4
631,17.2.0
639,1.9.0-rc3
648,1.8.0-rc4
649,Redpi-0.1
655,18.1.96
660,1.7.1-deve
661,17.8.0
663,WD-2.0b
672,18.1.101-R
675,18.1.94
685,18.1.95
686,1.7.0-rc3
701,2.0.0-rc3
706,2.0.1-rc38
708,18.1.100
710,18.1.99
713,18.1.102
714,4.0 r6470
716,17.9.0
721,18.1.93
723,2.0.0-rc6
732,17.8.1
733,17.3.0
738,1.8.2
